Virginia, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,44.6,7.9
197702,35.7,-1.0
197802,27.6,-9.1
197902,27.7,-9.0
198002,31.6,-5.1
198102,38.2,1.5
198202,38.0,1.3
198302,36.1,-0.6
198402,41.5,4.8
198502,36.3,-0.4
198602,37.5,0.8
198702,35.5,-1.2
198802,36.4,-0.3
198902,37.5,0.8
199002,44.4,7.7
199102,41.0,4.3
199202,40.4,3.7
199302,34.8,-1.9
199402,37.5,0.8
199502,34.9,-1.8
199602,36.1,-0.6
199702,41.6,4.9
199802,41.5,4.8
199902,40.0,3.3
200002,41.5,4.8
200102,41.2,4.5
200202,40.5,3.8
200302,34.8,-1.9
200402,36.3,-0.4
200502,39.3,2.6
200602,37.4,0.7
200702,31.9,-4.8
200802,40.3,3.6
200902,38.9,2.2
201002,31.9,-4.8
201102,40.9,4.2
201202,41.8,5.1
201302,36.8,0.1
201402,37.0,0.3
201502,28.9,-7.8
201602,38.4,1.7
201702,46.0,9.3
201802,45.2,8.5
201902,41.8,5.1
202002,42.4,5.7
202102,36.6,-0.1
202202,40.7,4.0
