Virginia, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,49.5,4.8
197703,49.7,5.0
197803,41.7,-3.0
197903,47.0,2.3
198003,42.0,-2.7
198103,41.5,-3.2
198203,45.0,0.3
198303,46.1,1.4
198403,41.0,-3.7
198503,47.2,2.5
198603,45.4,0.7
198703,45.1,0.4
198803,45.5,0.8
198903,45.7,1.0
199003,49.3,4.6
199103,47.4,2.7
199203,44.2,-0.5
199303,41.3,-3.4
199403,45.2,0.5
199503,47.7,3.0
199603,40.5,-4.2
199703,48.0,3.3
199803,45.4,0.7
199903,42.3,-2.4
200003,49.6,4.9
200103,42.0,-2.7
200203,46.3,1.6
200303,48.0,3.3
200403,47.8,3.1
200503,41.8,-2.9
200603,46.1,1.4
200703,49.2,4.5
200803,46.8,2.1
200903,45.1,0.4
201003,47.4,2.7
201103,46.0,1.3
201203,55.2,10.5
201303,40.1,-4.6
201403,40.7,-4.0
201503,44.2,-0.5
201603,51.8,7.1
201703,45.9,1.2
201803,41.2,-3.5
201903,43.9,-0.8
202003,51.7,7.0
202103,48.5,3.8
202203,48.9,4.2
