Virginia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,70.6,-0.3
197706,68.7,-2.2
197806,70.7,-0.2
197906,67.4,-3.5
198006,69.2,-1.7
198106,73.6,2.7
198206,69.4,-1.5
198306,70.0,-0.9
198406,72.6,1.7
198506,69.8,-1.1
198606,72.7,1.8
198706,72.8,1.9
198806,69.8,-1.1
198906,72.9,2.0
199006,70.8,-0.1
199106,71.8,0.9
199206,67.5,-3.4
199306,71.0,0.1
199406,73.6,2.7
199506,70.6,-0.3
199606,72.1,1.2
199706,68.6,-2.3
199806,71.7,0.8
199906,70.7,-0.2
200006,72.6,1.7
200106,71.5,0.6
200206,72.9,2.0
200306,68.9,-2.0
200406,70.8,-0.1
200506,71.8,0.9
200606,70.7,-0.2
200706,71.9,1.0
200806,74.0,3.1
200906,71.6,0.7
201006,76.0,5.1
201106,73.4,2.5
201206,70.2,-0.7
201306,72.2,1.3
201406,72.5,1.6
201506,73.7,2.8
201606,71.8,0.9
201706,71.2,0.3
201806,73.1,2.2
201906,71.2,0.3
202006,71.3,0.4
202106,72.0,1.1
