Virginia, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,71.2,-1.9
197708,75.1,2.0
197808,75.2,2.1
197908,73.3,0.2
198008,76.0,2.9
198108,71.1,-2.0
198208,71.0,-2.1
198308,75.9,2.8
198408,73.3,0.2
198508,71.9,-1.2
198608,71.5,-1.6
198708,75.4,2.3
198808,76.3,3.2
198908,72.5,-0.6
199008,73.2,0.1
199108,73.9,0.8
199208,70.4,-2.7
199308,74.7,1.6
199408,71.7,-1.4
199508,76.1,3.0
199608,72.2,-0.9
199708,72.1,-1.0
199808,74.6,1.5
199908,74.8,1.7
200008,72.4,-0.7
200108,75.0,1.9
200208,75.8,2.7
200308,75.5,2.4
200408,71.8,-1.3
200508,76.3,3.2
200608,76.5,3.4
200708,77.5,4.4
200808,72.3,-0.8
200908,75.2,2.1
201008,76.0,2.9
201108,74.9,1.8
201208,74.0,0.9
201308,71.8,-1.3
201408,71.3,-1.8
201508,73.2,0.1
201608,77.0,3.9
201708,72.8,-0.3
201808,75.2,2.1
201908,74.7,1.6
202008,75.5,2.4
202108,76.3,3.2
