Virginia, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,64.8,-2.3
197709,69.3,2.2
197809,69.1,2.0
197909,66.4,-0.7
198009,70.7,3.6
198109,65.2,-1.9
198209,65.3,-1.8
198309,67.1,0.0
198409,64.1,-3.0
198509,66.8,-0.3
198609,67.6,0.5
198709,68.0,0.9
198809,65.2,-1.9
198909,67.1,0.0
199009,66.4,-0.7
199109,67.4,0.3
199209,66.8,-0.3
199309,68.4,1.3
199409,65.1,-2.0
199509,66.1,-1.0
199609,66.2,-0.9
199709,66.4,-0.7
199809,71.6,4.5
199909,66.0,-1.1
200009,65.7,-1.4
200109,64.8,-2.3
200209,69.4,2.3
200309,66.7,-0.4
200409,67.9,0.8
200509,70.4,3.3
200609,64.8,-2.3
200709,69.4,2.3
200809,68.2,1.1
200909,66.6,-0.5
201009,70.0,2.9
201109,68.2,1.1
201209,66.9,-0.2
201309,66.3,-0.8
201409,68.1,1.0
201509,69.3,2.2
201609,71.8,4.7
201709,67.4,0.3
201809,72.8,5.7
201909,72.5,5.4
202009,66.4,-0.7
202109,68.5,1.4
