Washington, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,47.1,-0.1
197710,46.1,-1.1
197810,47.6,0.4
197910,49.9,2.7
198010,48.0,0.8
198110,45.4,-1.8
198210,46.3,-0.9
198310,46.5,-0.7
198410,43.8,-3.4
198510,45.1,-2.1
198610,49.5,2.3
198710,49.9,2.7
198810,52.3,5.1
198910,47.0,-0.2
199010,44.6,-2.6
199110,47.0,-0.2
199210,48.6,1.4
199310,50.1,2.9
199410,46.5,-0.7
199510,45.4,-1.8
199610,45.9,-1.3
199710,46.3,-0.9
199810,47.0,-0.2
199910,46.7,-0.5
200010,46.8,-0.4
200110,45.7,-1.5
200210,45.5,-1.7
200310,50.6,3.4
200410,48.5,1.3
200510,48.4,1.2
200610,47.0,-0.2
200710,45.6,-1.6
200810,46.6,-0.6
200910,44.2,-3.0
201010,48.6,1.4
201110,47.2,0.0
201210,47.4,0.2
201310,46.1,-1.1
201410,51.9,4.7
201510,52.4,5.2
201610,47.4,0.2
201710,46.2,-1.0
201810,47.4,0.2
201910,42.8,-4.4
202010,48.4,1.2
202110,46.6,-0.6
