Washington, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,43.8,-1.3
197704,48.0,2.9
197804,44.8,-0.3
197904,44.5,-0.6
198004,47.9,2.8
198104,44.5,-0.6
198204,41.4,-3.7
198304,45.0,-0.1
198404,43.2,-1.9
198504,45.9,0.8
198604,43.6,-1.5
198704,48.9,3.8
198804,46.9,1.8
198904,48.1,3.0
199004,48.6,3.5
199104,44.8,-0.3
199204,47.6,2.5
199304,44.6,-0.5
199404,48.2,3.1
199504,44.7,-0.4
199604,46.0,0.9
199704,43.6,-1.5
199804,46.0,0.9
199904,43.7,-1.4
200004,47.8,2.7
200104,43.5,-1.6
200204,44.7,-0.4
200304,44.6,-0.5
200404,48.6,3.5
200504,46.3,1.2
200604,45.7,0.6
200704,44.9,-0.2
200804,40.8,-4.3
200904,44.1,-1.0
201004,44.6,-0.5
201104,40.2,-4.9
201204,46.0,0.9
201304,44.7,-0.4
201404,45.8,0.7
201504,45.7,0.6
201604,51.6,6.5
201704,44.2,-0.9
201804,45.3,0.2
201904,46.3,1.2
202004,46.0,0.9
202104,46.8,1.7
