West Virginia, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,46.7,5.6
197703,45.3,4.2
197803,38.0,-3.1
197903,43.5,2.4
198003,37.8,-3.3
198103,37.2,-3.9
198203,42.6,1.5
198303,42.5,1.4
198403,36.5,-4.6
198503,43.6,2.5
198603,41.2,0.1
198703,43.0,1.9
198803,41.9,0.8
198903,44.2,3.1
199003,46.1,5.0
199103,43.8,2.7
199203,40.8,-0.3
199303,37.8,-3.3
199403,40.5,-0.6
199503,44.3,3.2
199603,36.2,-4.9
199703,44.6,3.5
199803,42.6,1.5
199903,36.8,-4.3
200003,46.1,5.0
200103,37.3,-3.8
200203,42.8,1.7
200303,45.0,3.9
200403,44.8,3.7
200503,37.6,-3.5
200603,41.2,0.1
200703,46.5,5.4
200803,42.1,1.0
200903,44.0,2.9
201003,43.4,2.3
201103,42.6,1.5
201203,52.6,11.5
201303,36.4,-4.7
201403,37.1,-4.0
201503,40.0,-1.1
201603,48.5,7.4
201703,42.3,1.2
201803,38.0,-3.1
201903,40.1,-1.0
202003,47.8,6.7
202103,45.7,4.6
202203,44.8,3.7
