West Virginia, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,57.3,-3.2
197705,63.0,2.5
197805,58.4,-2.1
197905,59.4,-1.1
198005,60.4,-0.1
198105,57.6,-2.9
198205,64.1,3.6
198305,57.6,-2.9
198405,57.7,-2.8
198505,61.6,1.1
198605,61.1,0.6
198705,63.9,3.4
198805,59.7,-0.8
198905,56.4,-4.1
199005,58.9,-1.6
199105,67.1,6.6
199205,57.6,-2.9
199305,60.8,0.3
199405,55.4,-5.1
199505,59.2,-1.3
199605,60.6,0.1
199705,54.8,-5.7
199805,63.4,2.9
199905,60.8,0.3
200005,62.9,2.4
200105,61.0,0.5
200205,57.9,-2.6
200305,59.8,-0.7
200405,65.9,5.4
200505,56.3,-4.2
200605,57.7,-2.8
200705,62.9,2.4
200805,57.1,-3.4
200905,61.2,0.7
201005,63.4,2.9
201105,62.0,1.5
201205,65.8,5.3
201305,60.5,0.0
201405,61.7,1.2
201505,64.7,4.2
201605,59.5,-1.0
201705,61.0,0.5
201805,67.9,7.4
201905,65.5,5.0
202005,57.8,-2.7
202105,58.6,-1.9
