West Virginia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,68.2,0.1
197706,65.0,-3.1
197806,67.6,-0.5
197906,65.6,-2.5
198006,65.3,-2.8
198106,69.3,1.2
198206,65.7,-2.4
198306,67.3,-0.8
198406,70.0,1.9
198506,65.9,-2.2
198606,68.6,0.5
198706,69.8,1.7
198806,66.7,-1.4
198906,68.9,0.8
199006,67.5,-0.6
199106,69.7,1.6
199206,64.6,-3.5
199306,67.6,-0.5
199406,70.7,2.6
199506,68.7,0.6
199606,69.4,1.3
199706,66.8,-1.3
199806,68.0,-0.1
199906,69.3,1.2
200006,69.8,1.7
200106,67.8,-0.3
200206,70.0,1.9
200306,65.1,-3.0
200406,67.6,-0.5
200506,70.3,2.2
200606,66.6,-1.5
200706,69.2,1.1
200806,69.7,1.6
200906,68.4,0.3
201006,71.9,3.8
201106,69.5,1.4
201206,67.5,-0.6
201306,69.2,1.1
201406,70.0,1.9
201506,70.5,2.4
201606,69.5,1.4
201706,67.7,-0.4
201806,70.0,1.9
201906,67.6,-0.5
202006,68.1,0.0
202106,69.2,1.1
