West Virginia, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,67.2,-3.2
197708,71.0,0.6
197808,72.2,1.8
197908,69.9,-0.5
198008,72.8,2.4
198108,68.6,-1.8
198208,67.5,-2.9
198308,73.2,2.8
198408,70.7,0.3
198508,68.9,-1.5
198608,68.6,-1.8
198708,72.6,2.2
198808,74.0,3.6
198908,69.8,-0.6
199008,70.4,0.0
199108,71.3,0.9
199208,67.6,-2.8
199308,72.3,1.9
199408,68.9,-1.5
199508,74.9,4.5
199608,70.0,-0.4
199708,68.4,-2.0
199808,71.6,1.2
199908,70.4,0.0
200008,69.5,-0.9
200108,72.5,2.1
200208,72.8,2.4
200308,72.4,2.0
200408,68.8,-1.6
200508,73.8,3.4
200608,73.1,2.7
200708,75.0,4.6
200808,68.7,-1.7
200908,71.3,0.9
201008,73.3,2.9
201108,71.6,1.2
201208,70.8,0.4
201308,69.2,-1.2
201408,69.1,-1.3
201508,69.9,-0.5
201608,75.1,4.7
201708,69.3,-1.1
201808,72.4,2.0
201908,71.5,1.1
202008,72.5,2.1
202108,73.9,3.5
