Wisconsin, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,10.0,-2.4
197701,0.6,-11.8
197801,7.7,-4.7
197901,2.5,-9.9
198001,13.6,1.2
198101,15.1,2.7
198201,3.3,-9.1
198301,18.7,6.3
198401,11.2,-1.2
198501,10.2,-2.2
198601,14.7,2.3
198701,19.4,7.0
198801,9.8,-2.6
198901,21.1,8.7
199001,24.1,11.7
199101,10.6,-1.8
199201,20.3,7.9
199301,15.1,2.7
199401,3.9,-8.5
199501,16.8,4.4
199601,10.1,-2.3
199701,11.6,-0.8
199801,20.3,7.9
199901,12.0,-0.4
200001,15.1,2.7
200101,19.1,6.7
200201,24.0,11.6
200301,13.7,1.3
200401,10.7,-1.7
200501,14.2,1.8
200601,27.7,15.3
200701,20.3,7.9
200801,14.7,2.3
200901,6.1,-6.3
201001,15.1,2.7
201101,12.2,-0.2
201201,20.8,8.4
201301,16.8,4.4
201401,6.0,-6.4
201501,15.3,2.9
201601,16.2,3.8
201701,19.4,7.0
201801,15.2,2.8
201901,13.1,0.7
202001,21.5,9.1
202101,20.2,7.8
202201,9.2,-3.2
