Wisconsin, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,24.1,7.7
197702,18.7,2.3
197802,9.9,-6.5
197902,8.3,-8.1
198002,14.1,-2.3
198102,21.3,4.9
198202,14.6,-1.8
198302,25.2,8.8
198402,27.2,10.8
198502,14.6,-1.8
198602,15.7,-0.7
198702,27.1,10.7
198802,12.6,-3.8
198902,10.0,-6.4
199002,20.4,4.0
199102,22.1,5.7
199202,25.4,9.0
199302,16.8,0.4
199402,11.7,-4.7
199502,17.8,1.4
199602,15.8,-0.6
199702,20.7,4.3
199802,31.6,15.2
199902,26.6,10.2
200002,25.3,8.9
200102,14.8,-1.6
200202,26.7,10.3
200302,13.7,-2.7
200402,20.8,4.4
200502,24.8,8.4
200602,18.4,2.0
200702,11.7,-4.7
200802,13.2,-3.2
200902,20.4,4.0
201002,20.0,3.6
201102,18.5,2.1
201202,26.6,10.2
201302,17.0,0.6
201402,7.3,-9.1
201502,7.6,-8.8
201602,22.6,6.2
201702,27.8,11.4
201802,16.1,-0.3
201902,13.5,-2.9
202002,19.2,2.8
202102,10.7,-5.7
202202,14.8,-1.6
