Wisconsin, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,66.6,2.5
197706,63.1,-1.0
197806,63.5,-0.6
197906,63.0,-1.1
198006,63.1,-1.0
198106,64.4,0.3
198206,58.8,-5.3
198306,64.5,0.4
198406,65.8,1.7
198506,61.2,-2.9
198606,63.9,-0.2
198706,68.0,3.9
198806,68.2,4.1
198906,62.7,-1.4
199006,64.9,0.8
199106,68.2,4.1
199206,61.6,-2.5
199306,61.5,-2.6
199406,66.5,2.4
199506,68.5,4.4
199606,64.4,0.3
199706,66.0,1.9
199806,63.5,-0.6
199906,65.4,1.3
200006,62.8,-1.3
200106,64.4,0.3
200206,66.4,2.3
200306,63.1,-1.0
200406,62.0,-2.1
200506,69.4,5.3
200606,65.1,1.0
200706,66.9,2.8
200806,64.4,0.3
200906,63.6,-0.5
201006,65.1,1.0
201106,64.3,0.2
201206,67.1,3.0
201306,63.9,-0.2
201406,66.4,2.3
201506,63.8,-0.3
201606,65.8,1.7
201706,65.6,1.5
201806,66.5,2.4
201906,63.6,-0.5
202006,66.5,2.4
202106,69.3,5.2
