Wisconsin, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,70.0,1.1
197707,71.0,2.1
197807,66.9,-2.0
197907,68.2,-0.7
198007,70.3,1.4
198107,68.2,-0.7
198207,69.6,0.7
198307,72.8,3.9
198407,67.6,-1.3
198507,67.9,-1.0
198607,70.1,1.2
198707,71.8,2.9
198807,72.4,3.5
198907,70.3,1.4
199007,67.8,-1.1
199107,68.4,-0.5
199207,63.3,-5.6
199307,67.9,-1.0
199407,67.0,-1.9
199507,70.0,1.1
199607,65.7,-3.2
199707,67.7,-1.2
199807,69.4,0.5
199907,72.4,3.5
200007,67.6,-1.3
200107,70.0,1.1
200207,72.7,3.8
200307,68.4,-0.5
200407,66.8,-2.1
200507,70.7,1.8
200607,72.8,3.9
200707,69.5,0.6
200807,69.0,0.1
200907,63.7,-5.2
201007,71.4,2.5
201107,73.2,4.3
201207,74.8,5.9
201307,68.9,0.0
201407,65.9,-3.0
201507,68.4,-0.5
201607,69.9,1.0
201707,68.8,-0.1
201807,69.8,0.9
201907,71.3,2.4
202007,71.9,3.0
202107,69.4,0.5
