Wisconsin, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,56.6,-1.4
197709,58.1,0.1
197809,61.8,3.8
197909,59.3,1.3
198009,57.2,-0.8
198109,56.2,-1.8
198209,56.7,-1.3
198309,59.1,1.1
198409,55.9,-2.1
198509,58.0,0.0
198609,58.1,0.1
198709,59.2,1.2
198809,59.3,1.3
198909,57.3,-0.7
199009,60.3,2.3
199109,56.4,-1.6
199209,56.4,-1.6
199309,52.5,-5.5
199409,61.1,3.1
199509,56.4,-1.6
199609,58.8,0.8
199709,59.4,1.4
199809,63.1,5.1
199909,57.8,-0.2
200009,58.1,0.1
200109,57.3,-0.7
200209,61.6,3.6
200309,59.4,1.4
200409,63.1,5.1
200509,63.3,5.3
200609,56.4,-1.6
200709,61.1,3.1
200809,60.5,2.5
200909,61.4,3.4
201009,56.9,-1.1
201109,57.3,-0.7
201209,57.7,-0.3
201309,60.8,2.8
201409,58.2,0.2
201509,64.7,6.7
201609,62.6,4.6
201709,62.2,4.2
201809,61.2,3.2
201909,62.0,4.0
202009,57.3,-0.7
202109,61.1,3.1
