Wyoming, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,25.8,3.5
197702,27.3,5.0
197802,19.9,-2.4
197902,20.0,-2.3
198002,24.1,1.8
198102,26.1,3.8
198202,21.6,-0.7
198302,27.5,5.2
198402,22.7,0.4
198502,17.2,-5.1
198602,24.3,2.0
198702,26.9,4.6
198802,23.9,1.6
198902,12.7,-9.6
199002,22.7,0.4
199102,30.7,8.4
199202,30.2,7.9
199302,16.0,-6.3
199402,20.0,-2.3
199502,28.1,5.8
199602,24.2,1.9
199702,22.1,-0.2
199802,26.4,4.1
199902,28.0,5.7
200002,29.4,7.1
200102,19.8,-2.5
200202,22.9,0.6
200302,20.2,-2.1
200402,23.4,1.1
200502,26.6,4.3
200602,21.3,-1.0
200702,24.8,2.5
200802,23.4,1.1
200902,26.8,4.5
201002,21.5,-0.8
201102,18.0,-4.3
201202,22.7,0.4
201302,22.6,0.3
201402,20.0,-2.3
201502,28.4,6.1
201602,30.1,7.8
201702,27.8,5.5
201802,19.3,-3.0
201902,16.8,-5.5
202002,20.2,-2.1
202102,17.4,-4.9
202202,20.6,-1.7
