Colorado, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,42.9,-3.6
197710,48.0,1.5
197810,48.0,1.5
197910,48.9,2.4
198010,45.4,-1.1
198110,46.1,-0.4
198210,44.0,-2.5
198310,48.0,1.5
198410,41.4,-5.1
198510,45.8,-0.7
198610,44.9,-1.6
198710,48.1,1.6
198810,49.7,3.2
198910,46.6,0.1
199010,46.7,0.2
199110,47.4,0.9
199210,49.1,2.6
199310,44.8,-1.7
199410,46.0,-0.5
199510,45.8,-0.7
199610,46.0,-0.5
199710,45.9,-0.6
199810,47.0,0.5
199910,48.0,1.5
200010,47.4,0.9
200110,47.9,1.4
200210,43.2,-3.3
200310,51.5,5.0
200410,46.8,0.3
200510,48.3,1.8
200610,44.9,-1.6
200710,48.3,1.8
200810,47.6,1.1
200910,40.8,-5.7
201010,49.2,2.7
201110,47.1,0.6
201210,46.5,0.0
201310,44.2,-2.3
201410,49.9,3.4
201510,51.4,4.9
201610,51.8,5.3
201710,46.7,0.2
201810,45.0,-1.5
201910,40.9,-5.6
202010,47.1,0.6
202110,47.8,1.3
