Colorado, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,43.5,1.0
197704,45.1,2.6
197804,44.8,2.3
197904,42.8,0.3
198004,40.1,-2.4
198104,48.3,5.8
198204,41.3,-1.2
198304,37.0,-5.5
198404,37.8,-4.7
198504,45.4,2.9
198604,44.7,2.2
198704,45.2,2.7
198804,43.8,1.3
198904,46.4,3.9
199004,45.1,2.6
199104,41.9,-0.6
199204,48.2,5.7
199304,42.1,-0.4
199404,43.4,0.9
199504,39.8,-2.7
199604,43.7,1.2
199704,38.4,-4.1
199804,41.0,-1.5
199904,40.1,-2.4
200004,46.4,3.9
200104,45.9,3.4
200204,47.3,4.8
200304,45.3,2.8
200404,44.4,1.9
200504,43.4,0.9
200604,47.1,4.6
200704,43.3,0.8
200804,40.9,-1.6
200904,42.0,-0.5
201004,43.6,1.1
201104,43.0,0.5
201204,48.2,5.7
201304,39.8,-2.7
201404,43.3,0.8
201504,44.8,2.3
201604,43.7,1.2
201704,44.3,1.8
201804,44.0,1.5
201904,45.5,3.0
202004,43.4,0.9
202104,43.0,0.5
