Colorado, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,68.0,0.9
197707,68.3,1.2
197807,68.6,1.5
197907,67.2,0.1
198007,69.6,2.5
198107,68.1,1.0
198207,66.8,-0.3
198307,67.8,0.7
198407,68.0,0.9
198507,67.5,0.4
198607,66.4,-0.7
198707,67.1,0.0
198807,67.9,0.8
198907,68.8,1.7
199007,66.0,-1.1
199107,66.5,-0.6
199207,64.4,-2.7
199307,66.0,-1.1
199407,67.5,0.4
199507,65.5,-1.6
199607,68.1,1.0
199707,67.2,0.1
199807,69.0,1.9
199907,68.3,1.2
200007,69.8,2.7
200107,70.2,3.1
200207,71.0,3.9
200307,72.4,5.3
200407,65.9,-1.2
200507,70.0,2.9
200607,69.6,2.5
200707,69.7,2.6
200807,69.2,2.1
200907,66.9,-0.2
201007,68.6,1.5
201107,70.0,2.9
201207,70.6,3.5
201307,68.5,1.4
201407,68.4,1.3
201507,66.6,-0.5
201607,69.2,2.1
201707,69.4,2.3
201807,70.0,2.9
201907,69.1,2.0
202007,69.3,2.2
202107,69.9,2.8
