Colorado, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,56.9,-0.4
197709,59.7,2.4
197809,58.4,1.1
197909,60.0,2.7
198009,58.6,1.3
198109,59.5,2.2
198209,57.3,0.0
198309,60.2,2.9
198409,57.0,-0.3
198509,54.3,-3.0
198609,55.2,-2.1
198709,56.7,-0.6
198809,56.3,-1.0
198909,57.6,0.3
199009,61.2,3.9
199109,57.5,0.2
199209,58.6,1.3
199309,55.3,-2.0
199409,59.1,1.8
199509,57.4,0.1
199609,55.7,-1.6
199709,59.8,2.5
199809,62.5,5.2
199909,55.4,-1.9
200009,59.4,2.1
200109,60.3,3.0
200209,58.4,1.1
200309,56.7,-0.6
200409,57.7,0.4
200509,60.2,2.9
200609,53.5,-3.8
200709,59.7,2.4
200809,57.3,0.0
200909,57.6,0.3
201009,61.2,3.9
201109,58.5,1.2
201209,59.5,2.2
201309,60.7,3.4
201409,60.0,2.7
201509,62.6,5.3
201609,59.7,2.4
201709,59.1,1.8
201809,61.9,4.6
201909,62.9,5.6
202009,58.8,1.5
202109,62.4,5.1
