Alaska, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,-4.0,-8.8
197702,15.1,10.3
197802,10.2,5.4
197902,-7.6,-12.4
198002,12.7,7.9
198102,9.0,4.2
198202,5.1,0.3
198302,7.6,2.8
198402,-7.0,-11.8
198502,-0.2,-5.0
198602,10.7,5.9
198702,8.3,3.5
198802,8.9,4.1
198902,14.8,10.0
199002,-11.4,-16.2
199102,4.5,-0.3
199202,0.3,-4.5
199302,10.6,5.8
199402,4.1,-0.7
199502,8.4,3.6
199602,4.0,-0.8
199702,15.1,10.3
199802,10.4,5.6
199902,-3.7,-8.5
200002,16.2,11.4
200102,14.7,9.9
200202,8.7,3.9
200302,16.5,11.7
200402,10.1,5.3
200502,8.0,3.2
200602,12.4,7.6
200702,6.1,1.3
200802,1.7,-3.1
200902,5.1,0.3
201002,10.8,6.0
201102,6.0,1.2
201202,12.1,7.3
201302,6.3,1.5
201402,6.7,1.9
201502,12.6,7.8
201602,17.3,12.5
201702,6.6,1.8
201802,12.6,7.8
201902,15.5,10.7
202002,1.5,-3.3
202102,1.0,-3.8
202202,8.8,4.0
