Alaska, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,51.7,2.2
197708,54.5,5.0
197808,52.1,2.6
197908,52.8,3.3
198008,48.0,-1.5
198108,48.7,-0.8
198208,49.6,0.1
198308,47.7,-1.8
198408,48.0,-1.5
198508,49.0,-0.5
198608,47.6,-1.9
198708,51.1,1.6
198808,49.8,0.3
198908,52.7,3.2
199008,52.2,2.7
199108,48.6,-0.9
199208,49.6,0.1
199308,50.1,0.6
199408,51.8,2.3
199508,49.6,0.1
199608,47.4,-2.1
199708,52.2,2.7
199808,47.7,-1.8
199908,51.1,1.6
200008,47.4,-2.1
200108,50.4,0.9
200208,49.2,-0.3
200308,50.6,1.1
200408,55.3,5.8
200508,52.6,3.1
200608,48.3,-1.2
200708,53.2,3.7
200808,48.4,-1.1
200908,49.0,-0.5
201008,51.5,2.0
201108,49.0,-0.5
201208,49.9,0.4
201308,51.4,1.9
201408,52.0,2.5
201508,49.3,-0.2
201608,53.2,3.7
201708,50.2,0.7
201808,49.6,0.1
201908,51.5,2.0
202008,52.1,2.6
202108,49.4,-0.1
