Connecticut, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,23.8,-5.4
197712,28.2,-1.0
197812,30.9,1.7
197912,33.5,4.3
198012,25.3,-3.9
198112,29.2,0.0
198212,35.6,6.4
198312,28.6,-0.6
198412,35.7,6.5
198512,27.3,-1.9
198612,32.3,3.1
198712,32.6,3.4
198812,29.1,-0.1
198912,17.9,-11.3
199012,36.3,7.1
199112,33.1,3.9
199212,30.8,1.6
199312,30.4,1.2
199412,35.1,5.9
199512,26.1,-3.1
199612,35.9,6.7
199712,32.0,2.8
199812,36.6,7.4
199912,33.8,4.6
200012,26.1,-3.1
200112,37.1,7.9
200212,29.8,0.6
200312,32.4,3.2
200412,30.8,1.6
200512,28.7,-0.5
200612,38.0,8.8
200712,30.2,1.0
200812,32.2,3.0
200912,30.1,0.9
201012,28.2,-1.0
201112,36.9,7.7
201212,35.9,6.7
201312,31.0,1.8
201412,35.4,6.2
201512,43.5,14.3
201612,32.6,3.4
201712,28.7,-0.5
201812,33.8,4.6
201912,31.7,2.5
202012,33.6,4.4
202112,37.1,7.9
