Connecticut, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,55.8,-1.0
197705,59.0,2.2
197805,56.2,-0.6
197905,59.6,2.8
198005,59.0,2.2
198105,58.2,1.4
198205,58.8,2.0
198305,54.9,-1.9
198405,55.3,-1.5
198505,59.0,2.2
198605,59.1,2.3
198705,57.7,0.9
198805,57.6,0.8
198905,57.9,1.1
199005,54.6,-2.2
199105,62.6,5.8
199205,56.6,-0.2
199305,59.2,2.4
199405,56.0,-0.8
199505,55.7,-1.1
199605,55.8,-1.0
199705,54.2,-2.6
199805,61.0,4.2
199905,58.5,1.7
200005,57.9,1.1
200105,58.9,2.1
200205,55.1,-1.7
200305,55.0,-1.8
200405,59.9,3.1
200505,53.1,-3.7
200605,57.2,0.4
200705,59.6,2.8
200805,55.1,-1.7
200905,57.8,1.0
201005,60.9,4.1
201105,59.7,2.9
201205,61.6,4.8
201305,58.2,1.4
201405,58.3,1.5
201505,62.7,5.9
201605,58.4,1.6
201705,56.7,-0.1
201805,62.2,5.4
201905,57.1,0.3
202005,56.4,-0.4
202105,57.8,1.0
