Connecticut, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,68.7,3.3
197706,63.9,-1.5
197806,65.2,-0.2
197906,64.6,-0.8
198006,63.4,-2.0
198106,66.7,1.3
198206,62.6,-2.8
198306,67.2,1.8
198406,67.7,2.3
198506,62.4,-3.0
198606,64.4,-1.0
198706,67.3,1.9
198806,65.4,0.0
198906,66.9,1.5
199006,66.5,1.1
199106,68.0,2.6
199206,64.3,-1.1
199306,66.3,0.9
199406,68.8,3.4
199506,67.0,1.6
199606,67.1,1.7
199706,66.3,0.9
199806,65.2,-0.2
199906,68.8,3.4
200006,66.0,0.6
200106,68.1,2.7
200206,65.5,0.1
200306,64.7,-0.7
200406,65.0,-0.4
200506,69.6,4.2
200606,67.1,1.7
200706,66.6,1.2
200806,68.6,3.2
200906,64.0,-1.4
201006,68.9,3.5
201106,66.9,1.5
201206,66.4,1.0
201306,67.7,2.3
201406,66.8,1.4
201506,65.3,-0.1
201606,67.4,2.0
201706,67.0,1.6
201806,66.4,1.0
201906,66.5,1.1
202006,68.4,3.0
202106,69.2,3.8
