Delaware, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,30.4,-2.9
197701,22.2,-11.1
197801,29.6,-3.7
197901,33.2,-0.1
198001,33.2,-0.1
198101,27.0,-6.3
198201,26.3,-7.0
198301,34.6,1.3
198401,28.3,-5.0
198501,28.3,-5.0
198601,33.4,0.1
198701,31.8,-1.5
198801,28.7,-4.6
198901,37.6,4.3
199001,41.5,8.2
199101,35.8,2.5
199201,36.1,2.8
199301,38.1,4.8
199401,28.0,-5.3
199501,38.2,4.9
199601,32.6,-0.7
199701,34.1,0.8
199801,41.6,8.3
199901,38.1,4.8
200001,33.3,0.0
200101,33.1,-0.2
200201,40.0,6.7
200301,29.6,-3.7
200401,28.8,-4.5
200501,34.3,1.0
200601,42.1,8.8
200701,40.1,6.8
200801,36.7,3.4
200901,30.7,-2.6
201001,33.4,0.1
201101,30.3,-3.0
201201,39.3,6.0
201301,37.4,4.1
201401,30.0,-3.3
201501,32.1,-1.2
201601,34.3,1.0
201701,39.1,5.8
201801,32.8,-0.5
201901,35.3,2.0
202001,40.2,6.9
202101,36.1,2.8
202201,31.5,-1.8
