Delaware, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,52.1,-4.3
197710,54.7,-1.7
197810,55.1,-1.3
197910,55.1,-1.3
198010,54.8,-1.6
198110,53.4,-3.0
198210,56.0,-0.4
198310,57.6,1.2
198410,61.8,5.4
198510,59.5,3.1
198610,58.6,2.2
198710,52.3,-4.1
198810,51.3,-5.1
198910,57.9,1.5
199010,60.8,4.4
199110,57.4,1.0
199210,53.6,-2.8
199310,55.8,-0.6
199410,54.8,-1.6
199510,59.8,3.4
199610,56.8,0.4
199710,57.0,0.6
199810,57.5,1.1
199910,55.9,-0.5
200010,57.6,1.2
200110,57.6,1.2
200210,57.9,1.5
200310,55.8,-0.6
200410,56.2,-0.2
200510,58.8,2.4
200610,56.2,-0.2
200710,64.1,7.7
200810,56.2,-0.2
200910,56.6,0.2
201010,58.6,2.2
201110,57.2,0.8
201210,59.4,3.0
201310,59.5,3.1
201410,59.4,3.0
201510,56.5,0.1
201610,60.3,3.9
201710,62.4,6.0
201810,60.2,3.8
201910,61.5,5.1
202010,60.0,3.6
202110,63.0,6.6
