Delaware, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,39.8,-5.9
197711,48.4,2.7
197811,48.0,2.3
197911,50.2,4.5
198011,43.4,-2.3
198111,45.3,-0.4
198211,48.8,3.1
198311,47.3,1.6
198411,44.8,-0.9
198511,52.8,7.1
198611,45.5,-0.2
198711,48.5,2.8
198811,47.3,1.6
198911,45.8,0.1
199011,48.9,3.2
199111,46.7,1.0
199211,46.8,1.1
199311,46.6,0.9
199411,51.1,5.4
199511,42.6,-3.1
199611,41.5,-4.2
199711,44.8,-0.9
199811,47.1,1.4
199911,51.4,5.7
200011,44.6,-1.1
200111,51.5,5.8
200211,45.8,0.1
200311,51.5,5.8
200411,48.6,2.9
200511,50.1,4.4
200611,50.9,5.2
200711,46.4,0.7
200811,45.4,-0.3
200911,50.6,4.9
201011,47.5,1.8
201111,50.8,5.1
201211,43.5,-2.2
201311,45.1,-0.6
201411,44.6,-1.1
201511,51.6,5.9
201611,49.0,3.3
201711,47.5,1.8
201811,45.7,0.0
201911,43.6,-2.1
202011,51.8,6.1
202111,45.1,-0.6
