Delaware, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,42.5,8.1
197702,35.0,0.6
197802,24.1,-10.3
197902,23.6,-10.8
198002,30.2,-4.2
198102,38.8,4.4
198202,35.5,1.1
198302,34.6,0.2
198402,40.4,6.0
198502,35.8,1.4
198602,33.1,-1.3
198702,31.6,-2.8
198802,36.1,1.7
198902,35.8,1.4
199002,42.3,7.9
199102,40.5,6.1
199202,37.6,3.2
199302,31.9,-2.5
199402,33.5,-0.9
199502,32.6,-1.8
199602,34.8,0.4
199702,40.8,6.4
199802,41.3,6.9
199902,38.3,3.9
200002,39.2,4.8
200102,38.6,4.2
200202,40.9,6.5
200302,32.1,-2.3
200402,36.1,1.7
200502,36.7,2.3
200602,37.1,2.7
200702,29.6,-4.8
200802,39.1,4.7
200902,38.5,4.1
201002,31.4,-3.0
201102,38.8,4.4
201202,41.1,6.7
201302,35.9,1.5
201402,33.9,-0.5
201502,26.3,-8.1
201602,38.5,4.1
201702,44.4,10.0
201802,43.2,8.8
201902,38.7,4.3
202002,41.9,7.5
202102,35.4,1.0
202202,39.5,5.1
