Delaware, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,46.5,3.8
197703,48.5,5.8
197803,39.5,-3.2
197903,46.1,3.4
198003,40.3,-2.4
198103,40.8,-1.9
198203,42.3,-0.4
198303,45.2,2.5
198403,37.9,-4.8
198503,45.9,3.2
198603,44.8,2.1
198703,44.5,1.8
198803,44.2,1.5
198903,42.6,-0.1
199003,46.8,4.1
199103,46.2,3.5
199203,41.4,-1.3
199303,40.0,-2.7
199403,42.8,0.1
199503,45.9,3.2
199603,39.6,-3.1
199703,45.5,2.8
199803,45.7,3.0
199903,42.2,-0.5
200003,48.7,6.0
200103,41.2,-1.5
200203,46.4,3.7
200303,45.1,2.4
200403,46.1,3.4
200503,40.1,-2.6
200603,44.6,1.9
200703,45.2,2.5
200803,45.7,3.0
200903,43.3,0.6
201003,48.1,5.4
201103,43.9,1.2
201203,52.4,9.7
201303,40.5,-2.2
201403,39.6,-3.1
201503,40.0,-2.7
201603,49.7,7.0
201703,43.8,1.1
201803,40.5,-2.2
201903,43.2,0.5
202003,49.5,6.8
202103,47.4,4.7
202203,47.3,4.6
