Delaware, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,54.9,2.9
197704,55.5,3.5
197804,51.9,-0.1
197904,51.3,-0.7
198004,54.3,2.3
198104,55.7,3.7
198204,50.0,-2.0
198304,51.0,-1.0
198404,50.8,-1.2
198504,56.2,4.2
198604,52.2,0.2
198704,51.2,-0.8
198804,50.4,-1.6
198904,51.5,-0.5
199004,53.5,1.5
199104,54.8,2.8
199204,51.5,-0.5
199304,52.0,0.0
199404,57.7,5.7
199504,53.5,1.5
199604,53.3,1.3
199704,51.1,-0.9
199804,55.2,3.2
199904,53.4,1.4
200004,52.4,0.4
200104,53.9,1.9
200204,57.1,5.1
200304,52.0,0.0
200404,54.7,2.7
200504,54.3,2.3
200604,56.3,4.3
200704,51.0,-1.0
200804,55.4,3.4
200904,55.0,3.0
201004,57.5,5.5
201104,57.2,5.2
201204,55.0,3.0
201304,54.6,2.6
201404,52.9,0.9
201504,54.2,2.2
201604,53.1,1.1
201704,59.6,7.6
201804,51.6,-0.4
201904,58.7,6.7
202004,51.8,-0.2
202104,55.3,3.3
