Florida, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,53.9,-3.9
197701,49.3,-8.5
197801,52.0,-5.8
197901,54.3,-3.5
198001,58.1,0.3
198101,49.1,-8.7
198201,57.2,-0.6
198301,55.0,-2.8
198401,55.4,-2.4
198501,52.5,-5.3
198601,56.4,-1.4
198701,56.2,-1.6
198801,54.8,-3.0
198901,63.9,6.1
199001,62.6,4.8
199101,62.0,4.2
199201,56.4,-1.4
199301,63.5,5.7
199401,56.8,-1.0
199501,56.6,-1.2
199601,56.6,-1.2
199701,59.4,1.6
199801,60.5,2.7
199901,60.7,2.9
200001,58.4,0.6
200101,53.0,-4.8
200201,59.3,1.5
200301,52.2,-5.6
200401,56.8,-1.0
200501,60.0,2.2
200601,60.8,3.0
200701,61.3,3.5
200801,58.3,0.5
200901,57.2,-0.6
201001,52.5,-5.3
201101,54.9,-2.9
201201,59.3,1.5
201301,64.0,6.2
201401,54.5,-3.3
201501,58.6,0.8
201601,56.9,-0.9
201701,62.8,5.0
201801,55.0,-2.8
201901,58.4,0.6
202001,61.8,4.0
202101,58.7,0.9
202201,57.6,-0.2
