Florida, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,68.6,-3.7
197710,69.4,-2.9
197810,72.2,-0.1
197910,72.2,-0.1
198010,71.8,-0.5
198110,72.7,0.4
198210,72.0,-0.3
198310,73.6,1.3
198410,74.2,1.9
198510,76.9,4.6
198610,74.0,1.7
198710,68.2,-4.1
198810,70.3,-2.0
198910,72.2,-0.1
199010,74.3,2.0
199110,72.6,0.3
199210,70.7,-1.6
199310,73.2,0.9
199410,73.4,1.1
199510,75.0,2.7
199610,72.0,-0.3
199710,72.2,-0.1
199810,75.2,2.9
199910,73.2,0.9
200010,70.9,-1.4
200110,71.6,-0.7
200210,76.2,3.9
200310,73.5,1.2
200410,74.5,2.2
200510,73.6,1.3
200610,72.1,-0.2
200710,76.2,3.9
200810,71.4,-0.9
200910,75.3,3.0
201010,72.1,-0.2
201110,70.5,-1.8
201210,73.2,0.9
201310,74.0,1.7
201410,72.7,0.4
201510,74.4,2.1
201610,74.6,2.3
201710,74.9,2.6
201810,76.5,4.2
201910,77.9,5.6
202010,77.2,4.9
202110,75.4,3.1
