Florida, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,56.5,-2.3
197712,57.5,-1.3
197812,62.2,3.4
197912,58.9,0.1
198012,55.8,-3.0
198112,56.9,-1.9
198212,63.6,4.8
198312,58.5,-0.3
198412,64.3,5.5
198512,56.3,-2.5
198612,62.6,3.8
198712,61.2,2.4
198812,59.1,0.3
198912,52.6,-6.2
199012,63.1,4.3
199112,62.1,3.3
199212,60.6,1.8
199312,56.2,-2.6
199412,61.8,3.0
199512,57.3,-1.5
199612,60.0,1.2
199712,58.9,0.1
199812,64.6,5.8
199912,59.0,0.2
200012,56.7,-2.1
200112,64.1,5.3
200212,57.3,-1.5
200312,56.1,-2.7
200412,58.0,-0.8
200512,57.0,-1.8
200612,64.2,5.4
200712,64.4,5.6
200812,62.0,3.2
200912,60.4,1.6
201012,50.1,-8.7
201112,62.8,4.0
201212,62.0,3.2
201312,64.7,5.9
201412,61.9,3.1
201512,69.6,10.8
201612,65.9,7.1
201712,61.7,2.9
201812,61.8,3.0
201912,63.9,5.1
202012,57.6,-1.2
202112,66.6,7.8
