Florida, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,67.6,3.6
197703,67.7,3.7
197803,61.8,-2.2
197903,62.9,-1.1
198003,65.6,1.6
198103,61.4,-2.6
198203,67.1,3.1
198303,61.1,-2.9
198403,63.2,-0.8
198503,66.7,2.7
198603,63.2,-0.8
198703,64.1,0.1
198803,62.9,-1.1
198903,67.1,3.1
199003,66.9,2.9
199103,66.2,2.2
199203,63.9,-0.1
199303,62.4,-1.6
199403,66.0,2.0
199503,66.5,2.5
199603,60.6,-3.4
199703,70.5,6.5
199803,62.2,-1.8
199903,62.6,-1.4
200003,67.6,3.6
200103,64.3,0.3
200203,66.6,2.6
200303,69.8,5.8
200403,65.7,1.7
200503,63.0,-1.0
200603,64.8,0.8
200703,66.3,2.3
200803,64.7,0.7
200903,65.3,1.3
201003,59.0,-5.0
201103,66.5,2.5
201203,70.3,6.3
201303,59.1,-4.9
201403,63.5,-0.5
201503,69.5,5.5
201603,68.8,4.8
201703,66.2,2.2
201803,63.0,-1.0
201903,65.7,1.7
202003,71.0,7.0
202103,67.7,3.7
202203,68.6,4.6
