Georgia, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,63.3,0.3
197704,65.2,2.2
197804,64.2,1.2
197904,64.0,1.0
198004,62.2,-0.8
198104,66.7,3.7
198204,61.1,-1.9
198304,58.5,-4.5
198404,61.3,-1.7
198504,64.1,1.1
198604,63.5,0.5
198704,60.1,-2.9
198804,63.3,0.3
198904,62.1,-0.9
199004,62.0,-1.0
199104,66.5,3.5
199204,61.2,-1.8
199304,59.0,-4.0
199404,65.3,2.3
199504,64.0,1.0
199604,60.9,-2.1
199704,60.1,-2.9
199804,62.4,-0.6
199904,67.1,4.1
200004,60.6,-2.4
200104,64.2,1.2
200204,67.9,4.9
200304,62.7,-0.3
200404,62.2,-0.8
200504,60.7,-2.3
200604,67.0,4.0
200704,60.9,-2.1
200804,62.6,-0.4
200904,61.8,-1.2
201004,64.5,1.5
201104,65.8,2.8
201204,65.6,2.6
201304,62.9,-0.1
201404,63.1,0.1
201504,66.8,3.8
201604,63.9,0.9
201704,67.5,4.5
201804,60.6,-2.4
201904,64.6,1.6
202004,63.1,0.1
202104,62.0,-1.0
