Georgia, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,78.6,-1.1
197707,81.2,1.5
197807,80.2,0.5
197907,78.5,-1.2
198007,82.3,2.6
198107,81.7,2.0
198207,79.1,-0.6
198307,81.0,1.3
198407,77.6,-2.1
198507,78.5,-1.2
198607,83.4,3.7
198707,80.5,0.8
198807,79.4,-0.3
198907,78.9,-0.8
199007,80.7,1.0
199107,80.3,0.6
199207,80.2,0.5
199307,83.1,3.4
199407,78.0,-1.7
199507,81.2,1.5
199607,80.3,0.6
199707,80.3,0.6
199807,82.4,2.7
199907,80.5,0.8
200007,80.8,1.1
200107,79.3,-0.4
200207,80.8,1.1
200307,78.7,-1.0
200407,80.1,0.4
200507,80.9,1.2
200607,81.0,1.3
200707,78.9,-0.8
200807,79.7,0.0
200907,78.5,-1.2
201007,82.2,2.5
201107,81.9,2.2
201207,82.2,2.5
201307,78.2,-1.5
201407,78.9,-0.8
201507,81.5,1.8
201607,82.8,3.1
201707,80.6,0.9
201807,80.2,0.5
201907,81.0,1.3
202007,81.5,1.8
202107,79.3,-0.4
