Georgia, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,72.1,-2.4
197709,75.9,1.4
197809,76.3,1.8
197909,73.2,-1.3
198009,77.7,3.2
198109,72.4,-2.1
198209,72.3,-2.2
198309,72.0,-2.5
198409,72.2,-2.3
198509,72.9,-1.6
198609,75.8,1.3
198709,74.2,-0.3
198809,74.1,-0.4
198909,73.1,-1.4
199009,75.5,1.0
199109,74.2,-0.3
199209,73.8,-0.7
199309,75.7,1.2
199409,72.3,-2.2
199509,73.0,-1.5
199609,73.2,-1.3
199709,74.8,0.3
199809,76.1,1.6
199909,73.4,-1.1
200009,72.6,-1.9
200109,72.1,-2.4
200209,76.8,2.3
200309,73.1,-1.4
200409,73.6,-0.9
200509,77.0,2.5
200609,73.3,-1.2
200709,75.8,1.3
200809,74.6,0.1
200909,74.5,0.0
201009,76.5,2.0
201109,73.6,-0.9
201209,74.0,-0.5
201309,74.5,0.0
201409,75.5,1.0
201509,73.8,-0.7
201609,77.5,3.0
201709,74.0,-0.5
201809,79.8,5.3
201909,79.1,4.6
202009,74.3,-0.2
202109,73.7,-0.8
